,格量,品赋,象限,宽德,中信资管,平方和,致远三号,黑翼CTA三号,fof
2019-02-18,0.00023410588274641597,0.0011267605633804578,0.0004836759371222854,0.0015804597701150058,-2.5532349487211725e-05,0.0006779661016944605,0.00098515696834367,0.0019358741681789748,0.0008406615171161675
2019-02-19,0.00023405109000940172,0.0011254924029262536,0.0004834421078077078,0.0015779658585568512,-2.5533001404731692e-05,0.0006775067750672825,0.0009841873892788566,0.0019321338002658006,0.0008395879770796923
2019-02-20,0.00023399632291476458,0.0011242270938729426,0.00048320850446992303,0.0015754798052134422,-0.00010213461342245544,0.000677048070412356,0.000983219716832684,0.0019284078582619824,0.0008289424800103419
2019-02-21,0.00023394158144496302,0.001122964626614209,0.0004829751267809712,0.0015730015730015534,-0.001327885597544931,0.0006765899864678016,0.0009822539453867574,0.0019246962588717054,0.0006746564592150673
2019-02-22,0.00023388686558201144,0.001121704991587258,0.0004827419744146688,0.0015705311250715503,-0.0001022808632522576,0.000676132521973738,0.0009812900693444426,0.0019209989194379773,0.0008267930359185716
2019-02-25,0.00023383217530725808,-9.337068160597539e-05,0.001715587722824763,0.0020475604224714505,0.0015770000000032702,0.0006756756756751692,0.001712306385203588,0.002651288196525048,0.0011834088586711478
2019-02-26,-0.0036068530207393756,-9.337940050424542e-05,0.0017126495223307447,0.002043376485651116,0.0015745169867154019,0.0006752194463197636,0.0017093794039353405,0.002644277454920241,0.0006051153759258687
2019-02-27,0.002262443438914019,-9.338812103099059e-05,0.001709721368845063,0.002039209612679116,0.0004705159925597613,0.0006747638326580763,0.0017064624122344885,0.002637303692225146,0.001345637320566495
2019-02-28,0.0022573363431153126,-9.339684318665498e-05,0.0017068032109228692,0.0020350596993778947,0.00040851871114777616,0.0006743088334453251,0.001703555359046982,0.0026303666166351825,0.0013352570699823097
2019-03-01,0.0018018018018017834,-9.34055669717937e-05,0.0017038949974701456,0.0020309266424154426,0.00011354174551536644,0.0006738544474387265,0.0017006581936673815,0.0026234659394084314,0.0012281980638862546
2019-03-04,0.0026978417266185772,-9.341429238673982e-05,-0.002538205980065933,0.0015008658841639821,0.0032266095702859765,0.0013468013468020956,-0.00023328149300150258,-0.0006208884618227328,0.0008443811554723179
2019-03-05,0.013452914798206095,-9.342301943193743e-05,-0.0025446648636400226,0.0014986166615431618,0.0011872263969270325,0.0013449899125765885,-0.00023333592595464747,-0.0006212742038075314,0.0022014751366711658
2019-03-06,0.001769911504424737,-9.343174810794164e-05,-0.0025511567024626425,0.0014963741702798128,0.0008546618731568589,0.0013431833445272101,-0.00023339038431624548,-0.0006216604253934666,0.00040620821933894926
