,格量,品赋,象限,宽德,中信资管,平方和,致远三号,黑翼CTA三号,fof,沪深300,组合基金
2019-05-21,1.2469273734943171,1.1211867805267155,1.2196228512397491,1.1857780148420165,1.10919052273693,1.23575651361335,1.1763970932349985,1.2688026805963546,1.2163697633024426,0.926472093739033,0.991984996441755
2019-05-22,1.247083696770853,1.1213629299013852,1.2239977221875078,1.1866592791625616,1.1101631823349627,1.2363609258224777,1.1753896054865467,1.2745952943464713,1.2176580362162572,0.9217267858667308,0.9920364553003974
2019-05-23,1.2472399956142413,1.1215390482529175,1.228353537007556,1.1875397675401151,1.1111348967856087,1.236964972938154,1.174381101682869,1.280354546970647,1.2189406875804263,0.9038004531746023,0.9910073310851045
2019-05-24,1.247396270032119,1.121715135592238,1.2326904609898492,1.188419481339892,1.1114097884148717,1.2375686554011796,1.1733715797725046,1.2860808205387488,1.220130787456093,0.9065767118382034,0.9869381026932225
2019-05-27,1.2475525200321194,1.124003867986604,1.2304230894848494,1.1882202548076057,1.1121016331034221,1.238926121464527,1.1725383726826697,1.2822762944646262,1.2200722215273874,0.9186220886005597,0.9877138978832922
2019-05-28,1.2477087456218707,1.1262873740466777,1.2281505653233216,1.188020988576199,1.1122706337717396,1.2402817473117924,1.171704470779857,1.278457238693243,1.2199451937729924,0.9282613715654778,0.9885924508548685
2019-05-29,1.247864946809,1.1285656775868107,1.225872865032851,1.1878216826298476,1.112430005195487,1.2416355379255095,1.1708698729042881,1.2746235418196887,1.2198138467548545,0.9259875674230695,0.9886440850780316
2019-05-30,1.2480211236011285,1.1308388022589564,1.2235899649802673,1.1876223369527172,1.1128274103510019,1.2429874982680054,1.1700345778932775,1.2707750911528453,1.2197091288876243,0.9197838124181704,0.9883859272919927
2019-05-31,1.2481772760058756,1.1331067715541412,1.221301841370174,1.1874229515289647,1.1142244925984617,1.2443376332815057,1.169198584581224,1.2669117726955084,1.2197262359596541,0.9166557055956569,0.9898319842046611
2019-06-03,1.2485675960683267,1.131366127515847,1.2199891693111418,1.1864991436809968,1.1149488886476284,1.2405923149294467,1.1683618917996008,1.2678980649054714,1.2188206558725494,0.9172673112257347,0.989883554520787
2019-06-04,1.248957763840469,1.129622448352813,1.2186747718793265,1.1855744816229636,1.1155904151359728,1.2368329164332066,1.1675244983769455,1.2688833853016037,1.2179016803974347,0.908032755153477,0.9894710132666616
2019-06-05,1.2493477794410928,1.1278757234619834,1.2173586445331073,1.1846489637736908,1.1158621714279913,1.2330593315275467,1.1666864031388502,1.2698677357971158,1.2169334288645177,0.9076520377930434,0.9891098906913418
2019-06-06,1.2497376429888511,1.126125942184643,1.2160407827129078,1.183722588547611,1.1161835985644801,1.2292714527396686,1.165847604907952,1.270851118299574,1.2159683131208359,0.8986392219135849,0.984207170972087
2019-06-10,1.2506729508610257,1.1266517966982275,1.214721181841102,1.1842053390480232,1.1161405641197102,1.231096547796703,1.1650081025039225,1.2707978346976025,1.2162949775564296,0.9115604378432055,0.9844664801723775
2019-06-11,1.251607384749828,1.127177374834177,1.2133998373219161,1.1846878566128394,1.1160975278228973,1.2329183179500358,1.164167894743458,1.2707445482563373,1.2166206961695512,0.941620757888404,0.9861774772170189
2019-06-12,1.2525409462870924,1.127702676882855,1.2120767445413367,1.1851701414667422,1.1142669718847777,1.2347367752920575,1.1633269804402704,1.2706912589754764,1.216722030786756,0.9340440226063064,0.9859704378795447
